注：雪墅、梦墅、异墅分别对应章节2、3、4
五、线索设置
1. 雪墅
苏溟玖：标题：苏溟玖搜身线索 内容：上着一件米色的羊毛衫，衣袖口被卷起。下着一条浅色的棉裤，口袋里没有东西。（可深入调查，深入调查的线索不高亮→25）
乌停湘：标题：乌停湘搜身线索 内容：上着一件白色羽绒服，口袋里没有东西。下着一条黑色长裤，口袋里没有东西。
夏中清：标题：夏中清搜身线索 内容：上着一件黑色羽绒服，内袋中有一把水果刀。下着一条深灰色长裤，口袋里没有东西。

2. 梦墅
2.1 穆暌信房间
初入：刚踏进房间，耳畔便响起了一个男声，“所谓的神明，也不过比我们领先了一小段距离而已！”声音的主人非常狂妄，听不出是谁。
①标题：书柜 内容：书柜中排有许多书和笔记本。（可深入调查→8、9、10）
②标题：独特的长袍 内容：衣柜中有一套样式非常独特的长袍，看起来神圣而又庄重。（可深入调查→7）
③标题：林羽的信件 内容：书桌的抽屉里有一封信件，署名“林羽”。（信件内容见附件1）
2.2 松林夕房间
初入：刚踏进房间，耳畔便响起一个女声，“再见了，松林夕。倘若有缘，再会吧……”
①标题：捐款记录本 内容：书架上有一个笔记本，专门用于记录好心人捐赠给孤儿院的善款。捐赠人一栏，穆暌信的名字多次出现。
②标题：林羽的名片 内容：书桌上的物品摆放得非常整齐，笔筒里有一张名片，记录着一名名叫林羽的心理咨询师的联系方式。
③标题：孤儿院文件 内容：书桌的抽屉内有各种文件，都关于孤儿院的各项事宜。（可深入调查→6）
2.3 苏溟玖房间
初入：刚踏进房间，耳畔便响起一个女声，“苏溟玖，快醒醒！异测会的人要来抓乌停湘！你们逃到这座山上去，半山腰的树林里有一间小木屋，去那里找穆暌信！快！”
①标题：贴有封条的密码门 内容：一扇被锁上的门，似乎要输入四位数的密码。门上贴有封条，每张封条上均写有一行字，分别为：“不可回首”“不堪回首”“不配回首”“不准回首”。
②标题：白色盒子 内容：双层床的床底有一个白色的盒子，打开盖子，里面装半满了白色的细沙。盒子长宽一致，高约是长宽的一半。
③标题：木雕工具箱 内容：双层床的床底有一个紫色的箱子，箱子里有许多用于制作木雕的木胚和凿子。（可深入调查→12）
④标题：母女相框 内容：（①的门解锁后，在新房间内存在）客厅内的窗台上有一个相框，相框中是两个人的合照，看上去是一对母女。女儿的脖子上挂着一个晶莹透亮的千纸鹤吊坠。两人对着镜头幸福的笑着。透过窗外照入的光，可以发现相框中还夹着什么东西。（可深入调查→11）
⑤标题：五芒星古书 内容：（①的门解锁后，在新房间内存在）卧室床边的一个暗格中有一本极为古旧的书，书的封面上印有一个被圆圈包围着的五芒星图案。（可深入调查→26）
2.4 乌停湘房间
①标题：白色盒子 内容：双层床的床底有一个白色的盒子，打开盖子，里面装半满了白色的细沙。盒子长宽一致，高约是长宽的一半。（可深入调查→13）
②标题：上锁的密码本 内容：书桌的抽屉里有一本密码本，被上锁。密码为四位数。（输入正确密码0909后获得梦境笔记，见附件2）
2.5 夏中清房间
初入：刚踏入房间，耳畔便响起一个男声，“不要问，也请你们不要去探索这些事，否则下场会和我一样。”听起来像夏中清的声音。
①标题：涂鸦纸团 内容：床底下有一些被揉皱的纸团，每一个纸团里都写满了凌乱不堪的字，画满了乱七八糟的涂鸦。勉强可以看出“因果”“命运”“线”“弦”“异数”这五个词。
②标题：病号服 内容：衣柜的角落有一套被折起来的病号服，其上印有“十七号精神卫生中心”的字样。（可深入调查→14）
2.6 梅塔房间
初入：刚踏进房间，耳畔便响起一个男声，“那个自诩神明的人，以玩弄我们为乐，以看到我们丧失至亲的痛苦为乐，他，配称为‘神明’吗？”
①标题：餐桌 内容：餐厅的餐桌上摆着啤酒和烤串，两个玻璃杯相互位于餐桌对面，其中一个杯子空空如也，另一个杯子中只有清水。
②标题：研究笔记本 内容：书桌抽屉里有一个笔记本，上面记录着一系列高深的研究笔记，很难理清思路。（可深入调查→15、17）

3. 异墅
3.1 梅塔研究所（被公开前，仅穆暌信可在储物间暗门下进入）
（穆暌信视角）穿过悠长的楼梯，你来到的是一间熟悉的研究所，进门处挂着一件白大褂，上有梅塔名字的铭牌——这是梅塔的研究所，是你意想不到的结果。
①标题：梦境规则便笺 内容：中央计算机上随手放着一张便笺纸，上面写着某人记录的梦境规则（见附件3）
②标题：不明仪器 内容：研究所内有各种不明用途的仪器，均连接在中央计算机上。（可深入调查→18）
③标题：实验床 内容：一个房间内摆有各种仪器和两张实验床，每张实验床边放着一个头盔状的设备，与某些仪器相连。
④标题：手枪和子弹 内容：一处实验台上摆放着一个盒子，盒子内装有一把手枪和一颗银色的子弹，看起来非常特殊。
3.2 异测会研究所（被公开前，仅苏溟玖可在储物间暗门下进入）
（苏溟玖视角）穿过幽暗的楼梯，一个明亮的房间出现在你眼前，这似乎是一个装满高科技的研究所，而在一面墙上，你看见了“异数观测协会”六个字，这里竟然是异测会的地盘！
①标题：会长的文件袋 内容：许多办公室内都有不少独立办公桌，只有一间办公室仅供一人使用。该办公室的办公桌上挂有“异数观测协会会长：时今”的铭牌。办公桌上摆有四个文件袋。（可深入调查→19、20、21、28）
②标题：协会宣言 内容：墙上贴着“异数观测协会”宣言：“我们将会点燃黑暗，以你留下的火；我们始终在执行彻底的抗争，直至消除所有异常的恶意；我们为此牺牲一切，我们为此爱着一切；我们不会放弃，直到找到解决的方法，直到世界恢复应有的宁静；我们将会永远守护，这个可被理解的平凡世界。”
3.3 松林夕研究所（被公开前，仅松林夕可在储物间暗门下进入）
（松林夕视角）穿过一条狭长的楼道，熟悉的研究所映入眼帘，中央的实验床上躺着的人正是时今——这就是你的海底研究所！你关于梦境的猜想得到了证实。
①标题：规则白板 内容：休息间的墙上挂着一块白板，白板上写着某人记录下的梦境规则。（见附件4）
②标题：装置和手稿 内容：储物间的一角整齐地摆放着十多个相同的装置，装置下有一份手稿，上面记载了十多个地点，以及装置的安放方式和启动说明。部分地名后已经写下了“已安装”的字样。
③标题：计算机 内容：中央计算机上存储着大量数据，承载着各种程序。计算机旁连接着说不清用途的仪器，俨然一个高科技实验场地。（可深入调查→16）
④标题：提线木偶 内容：休息间的角落里有一个被拆得七零八落的提线木偶。
⑤标题：实验床女子 内容：研究所的正中央的实验床上躺着一名女子，身上连接着各种维持生命用的仪器。
3.4 夏月研究所（被公开前，仅夏中清、主角可在储物间暗门下进入）
（夏中清视角）沿着漫长的楼梯往下，你来到了一间熟悉的实验室，正中央的球形容器内悬浮着一个巨大的光球。这里正是爷爷的研究所！但它不可能出现在这里！
（主角视角）沿着漫长的楼梯往下，映入眼帘的是一个连接着超级计算机的巨大显示屏，以及各式各样的精密仪器，和正中央球形容器中悬浮着的一个巨大的光球。这里是量子物理学家夏月等人所使用的海底研究所，他们研究出的量子力学终极秘密引发了巨大轰动，但关于世界之理，他们不过是在外围敲敲打打。你不太关心这里，这并非你的目标。
①标题：巨大的光球 内容：研究所中央有一个球形容器，其中悬浮着一个巨大的光球，容器旁有一个笔记本，据笔记内容，这是“量子力学终极秘密”的具象化产物，可以用于控制粒子的运动，而若要发挥更大的作用，则必须拥有更高的权限。最高权限下，终极秘密甚至可以发挥世界级的作用。但无论如何，终极秘密遵循能量守恒。
②标题：夏月的笔记本 内容：研究所的墙上挂着几件研究服，在一件挂有“夏月”名字的铭牌的衣服口袋中找到一本笔记本。笔记本中记录了“研究清单”，从中提取信息可知，夏月等人正在进行与平行世界有关的研究，但遇到了瓶颈，一直难以突破。夏月等人猜测，在普朗克常数的差异下，多个世界可以叠加存在，然而，即使他们已经掌握了量子力学的终极秘密，他们仍做不到联通不同的平行世界，就像正被什么阻止着。
③标题：工作清单 内容：研究所的墙上贴着目前的工作清单，为揭示平行世界理论的合理性。一旁还有两行手写的字：“探索连接脑电波的方法，找到夏中清”（“找到”两个字上被划上了一个√）“那些出现在他梦境中的红色线状物是什么？”
3.5 书房暗室（乌停湘与管家私聊后解锁）
①标题：全家福相框 内容：窗台上摆着一个相框，相框中似乎是一家三口的全家福。一个小女孩被一名男子和一名女子包在中间，脸上都洋溢着幸福的笑容。小女孩的长相与乌停湘非常相似。
②标题：罗非奖报纸 内容：书桌的书架中央夹着一张报纸，报纸的头条记载了2019年罗非奖的获奖情况。据报道，五年一届的罗非奖在该年的得主是乌叙博士带领的研究团队，罗非博士亲自为他们颁奖。据新闻背景介绍，罗非奖是弦理论专家、箱庭计划开拓者之一的罗非博士设立的奖项，用于奖励在过去的五年中为解构学的发展做出突出贡献者。（可深入调查→23）
③标题：红紫光灯 内容：书桌上有许多小孩玩的玩具，其中有一个红紫光灯。
④标题：字迹稚嫩的笔记本 内容：床头柜上有一个笔记本，里面记载了大量的内容，字迹稚嫩而略显急促。（见附件5）
⑤标题：花海合照 内容：床边的墙上挂着一个相框，相框内是两个人的合照，其中一名小女孩约莫十岁，与乌停湘十分相似；另一名女子身着一件白色连衣裙，蹲在小女孩的身边。二人身处一片姹紫嫣红的花海，面对镜头露出微笑。相框上以娟秀的字体刻着一行字：“假如每一朵花都是一个世界，那么这片花海应该是什么样的？”
⑥标题：书和留言纸 内容：房间一角的书柜上有不少书，大多是儿童读物，也不乏一些科幻作品。书柜的抽屉里放的全都是署名为“爸爸妈妈”的留言纸，几乎都表达出“爸爸妈妈工作很忙”，工作或节日“没时间陪你一起过”“要听爷爷奶奶的话”之类的语句。
3.6 花海
①标题：防盗杆尸体 内容：从花海处可以望见别墅及周边的情况，在左侧的锋利的防盗杆上，梅塔的尸体被尖刺刺穿。(可深入调查→22)
②标题：白色连衣裙 内容：花海的一处，有一条叠得整整齐齐的白色连衣裙。

4. 深入调查
（1）标题：剪刀 内容：剪刀的把手上有零星的暗褐色的痕迹。
（2）标题：锁闩 内容：门锁的锁闩有因猛烈撞击留下的痕迹，没有损坏。锁闩为缩入状态。
（3）标题：贯穿伤口 内容：梅塔的后背完全被血浸染，可以看见背上的贯穿伤口。
（4）标题：梅塔的衣服 内容：梅塔衣服的一角有擦拭过血液的痕迹。口袋中有一把钥匙，可用于打开别墅内任何房间的门锁。
（5）标题：管家的回应 内容：管家：“主人会通过这台机器向我了解别墅内的情况。”
（6）标题：孤儿花名册 内容：文件中有一份花名册，上面记录了孩子们的姓名、性别、出生日期和入院日期。（见附件6）
（7）标题：管家的回应 内容：管家：“这是上界教会枢机卿的圣袍。”
（8）标题：书 内容：书大多是关于“教义复古运动”内容的书，记载了前人对先知的《箴言录》的研究成果。还有一本《先知伊斯自传》，扉页上印有一句话：“当世人陷入迷惘，我将受神之命指点迷津；当上界降下箴语，我将承天之启觐见神明。”
（9）标题：笔记本 内容：笔记本记录了一些语句，应该有所出处。（见附件7）
（10）标题：旧报纸 内容：书柜的深处有一张报纸，其上的头条记载了2017年8月4日发生在一座沿海城市的火灾事故。据报道，火灾摧毁了一座占地一千余平米别墅的主馆，别墅所有人时田丧生于火场。当时恰巧在别墅避雨的上界教会枢机卿及其随行人员提供了证词，却没找到枢机卿口中“另一位居住者”时今。该新闻的一旁留有“对不起”的笔迹。
（11）标题：相框纸条 内容：拆开相框，发现一张纸条夹在其中。纸条上写着：“只身赴往明日，却生踟蹰迷茫。哀鸣兮于幽谷，沉默兮于汪洋。黑白无须颠倒，善恶终将还偿。若使临渊待旦，必见朗朗天光。”
（12）标题：五芒星纸 内容：箱子底有一张被折起来的纸，摊开，上面画着一个五芒星的图案和几个文字（从上顶角开始顺时针分别为“金”“水”“木”“火”“土”，中央为“生”）
（13）标题：旧报纸 内容：挖开沙粒，盒子底部有一张被折起来的报纸。报纸记载了1999年9月8日，警方抓获一群邪教分子的事件。警方拍摄了一张邪教仪式现场的照片，是画在地上的一个大五芒星。邪教分子声称神明是存在的，并要求警方让其证明。警方没有理会他们的无稽之谈，呼吁民众相信科学。
（14）标题：异数残页 内容：病号服的口袋里有几张被撕下的纸，内容以第一人称叙述。大致讲述了：“我”察觉到，若有人破译了“世界之理”，该人将被世界标记为“异数”，随后，整个世界会尽可能但不只使用最合理的方法将其抹除，即“修正”，于是“我”决定利用大脑离体培养的方法，让那些“异数”代替“我”破译世界之理。
（15）标题：计划本 内容：归纳整理后，发现整个笔记本实际上是一个计划本。第一步：找到联通不同世界的人的梦境的方法；第二步：找到所有的“神选者”；第三步：找到“神选者”恐惧至深的梦魇；第四步：在梦中触发梦魇，杀死那些“神选者”。其中前两步已完成。
（16）标题：弦设备 内容：经辨认，松林夕研究所中的这些仪器是用于控制弦运动和对弦进行解析的设备。
（17）标题：写有字的纸条 内容：笔记本的书脊内藏着一张纸条，上面写着：“他们的死亡绝非离奇的巧合，神明的存在由此可知。而所谓的神能，也不过是利用弦的把戏。我们的研究至此，正是不断接近神的过程，只要利用那个狂妄自大的‘神明’的甄选规则，就有办法接近他。以能贯穿弦的武器，将那个草菅人命的‘神明’终结！”
（18）标题：弦设备 内容：经辨认，梅塔研究所的这些仪器是用于控制弦运动和对弦进行解析的设备。
（19）标题：黑门事件档案 内容：办公桌上的一个文件袋上写着“2012年黑门事件”。内部有大量的纸质资料，详细记录了2012年的一次濒临世界末日的危机。彼时，一块漆黑的物体笼罩整座城市，它具有强大的吸引力，将高空中的一切吞噬，险些波及地表。异测会中有人议论，是1999年的那帮邪教分子导致了这场灾难，均被时任会长严厉驳回。黑门危机最终被化解，一切重回正轨，但原因至今不明。
（20）标题：异数0373档案 内容：办公桌上的一个文件袋上写着“异数0373”观测记录。内部有大量的纸质资料，详细记录了与0373号异数有关的信息。观测表明，异数0373是一种能量体，可附着在生命体身上，使之拥有神一般的能力，似乎每隔一段时间将更替一代。观测工作由历任会长负责，并被列为最高等级项目。现任会长时今指出，异数0373或许与黑门事件的解决有关，它不一定对世界及人类具有恶意。
（21）标题：沙化事件档案 内容：办公桌上的一个文件袋上写着“沙化事件”。内部有大量的纸质资料，详细记录了2021年开始的沙化事件。据观测，各种事物乃至人类，都在无缘无故地变成沙子，沙化进程较缓慢，但若放任之，对于人类无异于灭顶之灾。观测项目由梅塔主导，经由大量观察发现，沙化事件与生活在本市孤儿院的乌停湘可能有关。会长提出用弦理论加以研究，但主导人坚决拒绝该项提议。
（22）标题：尸体细节 内容：梅塔的身体被锋利的防盗杆洞穿，血流成河。尸体的位置太高，无法进一步观察。防盗杆两侧落有花盆的碎片和一株吊兰。
（23）标题：报纸上的小字 内容：在报纸头条的旁边写有歪歪扭扭的小字：“为什么不能回来陪我？”
（24）标题：白纸上的字 内容：经紫光灯照射，白纸上的字变得可见，内容如下：“匣中世界，是为箱庭。向内探索，是为建构。向外探索，是为解构。”
（25）标题：袖口上的印迹 内容：将衣袖翻下来后，露出袖口上一片暗褐色的印迹。
（26）标题：通灵法阵 内容：粗略翻阅书中的内容，发现其中记载的都是“通灵法阵”的使用方法。通灵法阵由五行祭品和中央祭品组成。五行祭品需按一定顺序置于五芒星的五角，中央祭品最后放入，并遵循“求什么，就要献什么”的原则。等待十分钟后，火焰将在法阵上方燃起，届时向神明默祷，祈求便能得到回应。仪式结束后，法阵的痕迹与祭品都将消失。
（27）标题：衣袖上的尘土 内容：仔细观察，发现西装的衣袖上沾有些许尘土。
（28）标题：异数0564档案 内容：办公桌上的一个文件袋上写着“异数0564”观测记录。内部有大量的纸质资料，详细记录了与0564号异数有关的信息。0564号异数是一类现象，由异测会成员梅塔的父母在过去指出。世界上已知的所有对世界之理研究的较为透彻的科学家，甚至知晓某些世界之理的人（不论渠道），都会突发事故或疾病而死亡。异数0564-01与0564-02是梅塔父母的死亡事件，据记载，1995年4月13日，梅塔母亲从自家窗台坠下，落在楼下的防盗杆上，被尖刺洞穿身体，而随后，梅塔父亲似乎想查看情况，却以同样的方式结束了生命。二人都是弦理论的专家，梅塔也因此事拒绝一切发展弦理论的研究。
